"행정구역","2023년01월_남_총인구수","2023년01월_남_연령구간인구수","2023년01월_남_0~4세","2023년01월_남_5~9세","2023년01월_남_10~14세","2023년01월_남_15~19세","2023년01월_남_20~24세","2023년01월_남_25~29세","2023년01월_남_30~34세","2023년01월_남_35~39세","2023년01월_남_40~44세","2023년01월_남_45~49세","2023년01월_남_50~54세","2023년01월_남_55~59세","2023년01월_남_60~64세","2023년01월_남_65~69세","2023년01월_남_70~74세","2023년01월_남_75~79세","2023년01월_남_80~84세","2023년01월_남_85~89세","2023년01월_남_90~94세","2023년01월_남_95~99세","2023년01월_남_100세 이상","2023년01월_여_총인구수","2023년01월_여_연령구간인구수","2023년01월_여_0~4세","2023년01월_여_5~9세","2023년01월_여_10~14세","2023년01월_여_15~19세","2023년01월_여_20~24세","2023년01월_여_25~29세","2023년01월_여_30~34세","2023년01월_여_35~39세","2023년01월_여_40~44세","2023년01월_여_45~49세","2023년01월_여_50~54세","2023년01월_여_55~59세","2023년01월_여_60~64세","2023년01월_여_65~69세","2023년01월_여_70~74세","2023년01월_여_75~79세","2023년01월_여_80~84세","2023년01월_여_85~89세","2023년01월_여_90~94세","2023년01월_여_95~99세","2023년01월_여_100세 이상","2023년02월_남_총인구수","2023년02월_남_연령구간인구수","2023년02월_남_0~4세","2023년02월_남_5~9세","2023년02월_남_10~14세","2023년02월_남_15~19세","2023년02월_남_20~24세","2023년02월_남_25~29세","2023년02월_남_30~34세","2023년02월_남_35~39세","2023년02월_남_40~44세","2023년02월_남_45~49세","2023년02월_남_50~54세","2023년02월_남_55~59세","2023년02월_남_60~64세","2023년02월_남_65~69세","2023년02월_남_70~74세","2023년02월_남_75~79세","2023년02월_남_80~84세","2023년02월_남_85~89세","2023년02월_남_90~94세","2023년02월_남_95~99세","2023년02월_남_100세 이상","2023년02월_여_총인구수","2023년02월_여_연령구간인구수","2023년02월_여_0~4세","2023년02월_여_5~9세","2023년02월_여_10~14세","2023년02월_여_15~19세","2023년02월_여_20~24세","2023년02월_여_25~29세","2023년02월_여_30~34세","2023년02월_여_35~39세","2023년02월_여_40~44세","2023년02월_여_45~49세","2023년02월_여_50~54세","2023년02월_여_55~59세","2023년02월_여_60~64세","2023년02월_여_65~69세","2023년02월_여_70~74세","2023년02월_여_75~79세","2023년02월_여_80~84세","2023년02월_여_85~89세","2023년02월_여_90~94세","2023년02월_여_95~99세","2023년02월_여_100세 이상","2023년03월_남_총인구수","2023년03월_남_연령구간인구수","2023년03월_남_0~4세","2023년03월_남_5~9세","2023년03월_남_10~14세","2023년03월_남_15~19세","2023년03월_남_20~24세","2023년03월_남_25~29세","2023년03월_남_30~34세","2023년03월_남_35~39세","2023년03월_남_40~44세","2023년03월_남_45~49세","2023년03월_남_50~54세","2023년03월_남_55~59세","2023년03월_남_60~64세","2023년03월_남_65~69세","2023년03월_남_70~74세","2023년03월_남_75~79세","2023년03월_남_80~84세","2023년03월_남_85~89세","2023년03월_남_90~94세","2023년03월_남_95~99세","2023년03월_남_100세 이상","2023년03월_여_총인구수","2023년03월_여_연령구간인구수","2023년03월_여_0~4세","2023년03월_여_5~9세","2023년03월_여_10~14세","2023년03월_여_15~19세","2023년03월_여_20~24세","2023년03월_여_25~29세","2023년03월_여_30~34세","2023년03월_여_35~39세","2023년03월_여_40~44세","2023년03월_여_45~49세","2023년03월_여_50~54세","2023년03월_여_55~59세","2023년03월_여_60~64세","2023년03월_여_65~69세","2023년03월_여_70~74세","2023년03월_여_75~79세","2023년03월_여_80~84세","2023년03월_여_85~89세","2023년03월_여_90~94세","2023년03월_여_95~99세","2023년03월_여_100세 이상"
"전국  (0000000000)","25,631,538","25,631,538","726,460","1,072,653","1,211,077","1,211,949","1,524,378","1,823,908","1,737,714","1,684,266","2,055,130","2,039,606","2,303,096","2,052,227","2,097,254","1,554,976","1,038,388","713,448","507,915","212,726","54,180","8,880","1,307","25,798,480","25,798,480","691,045","1,020,598","1,144,645","1,134,811","1,402,493","1,642,682","1,579,871","1,598,401","1,980,502","1,990,483","2,244,358","2,017,243","2,132,394","1,649,709","1,174,486","908,877","802,501","459,932","177,039","39,806","6,604","25,626,211","25,626,211","722,848","1,067,962","1,210,328","1,210,202","1,516,184","1,816,653","1,738,039","1,676,299","2,058,847","2,038,344","2,302,357","2,054,837","2,102,187","1,563,546","1,039,913","714,082","513,601","214,782","54,804","9,005","1,391","25,795,268","25,795,268","687,427","1,016,418","1,143,877","1,133,259","1,395,777","1,637,682","1,579,098","1,588,368","1,984,303","1,987,300","2,243,541","2,021,614","2,137,849","1,657,545","1,176,527","909,717","805,628","463,285","178,743","40,538","6,772","25,621,573","25,621,573","718,749","1,063,773","1,208,169","1,208,266","1,508,626","1,814,509","1,748,021","1,669,407","2,057,937","2,028,959","2,297,644","2,058,136","2,105,716","1,572,761","1,043,543","718,702","515,358","217,307","55,442","9,119","1,429","25,792,708","25,792,708","683,499","1,012,269","1,142,345","1,131,608","1,389,208","1,637,011","1,586,436","1,581,605","1,983,095","1,977,469","2,237,575","2,026,849","2,140,345","1,666,718","1,181,147","912,158","807,453","467,750","180,147","41,089","6,932"
"서울특별시  (1100000000)","4,567,739","4,567,739","116,614","161,429","185,689","197,425","271,237","390,716","379,852","332,153","363,795","352,011","397,039","338,380","343,434","271,757","188,172","136,287","93,848","36,511","9,411","1,703","276","4,857,134","4,857,134","109,390","154,162","176,096","189,009","304,285","418,972","379,071","333,112","368,850","362,938","405,844","352,068","375,498","310,677","221,007","169,985","127,276","66,321","25,368","6,162","1,043","4,567,957","4,567,957","115,991","160,533","185,566","197,895","271,775","389,347","380,056","330,941","364,356","351,479","396,950","338,582","343,704","272,726","188,291","136,396","94,959","36,935","9,479","1,706","290","4,859,626","4,859,626","108,794","153,327","175,969","190,356","305,087","418,026","378,967","331,634","369,727","362,317","405,765","352,462","375,661","311,976","221,191","170,576","128,084","66,857","25,516","6,275","1,059","4,566,299","4,566,299","115,337","159,795","184,981","197,775","270,730","389,410","382,352","329,572","364,364","349,545","396,010","338,624","343,604","273,876","188,777","137,154","95,378","37,401","9,615","1,700","299","4,860,105","4,860,105","108,263","152,735","175,455","190,483","304,942","418,248","381,034","330,437","369,479","360,082","404,725","352,974","375,294","313,357","221,934","171,361","128,653","67,583","25,644","6,332","1,090"
"부산광역시  (2600000000)","1,618,749","1,618,749","41,333","63,912","68,919","67,836","93,245","109,745","103,536","99,530","127,544","121,660","138,387","126,702","143,246","119,500","83,807","55,948","36,851","13,453","3,103","420","72","1,697,358","1,697,358","39,356","60,582","65,329","64,001","88,307","102,363","96,466","95,847","123,903","120,997","142,360","135,400","160,060","134,634","99,254","70,537","56,380","28,523","10,347","2,375","337","1,618,202","1,618,202","41,110","63,772","68,959","67,742","93,251","108,985","103,609","98,894","127,694","121,581","138,267","126,648","143,240","119,913","84,000","55,802","37,497","13,604","3,130","432","72","1,697,314","1,697,314","39,143","60,387","65,282","64,115","88,186","102,102","96,280","95,256","124,120","120,768","142,103","135,402","160,201","135,021","99,550","70,570","56,819","28,802","10,443","2,429","335","1,616,930","1,616,930","40,824","63,560","68,918","67,642","92,800","108,403","104,078","98,554","127,503","121,118","138,003","126,560","143,128","120,218","84,267","56,125","37,742","13,802","3,159","453","73","1,696,609","1,696,609","38,967","60,124","65,270","64,018","87,672","101,842","96,660","94,843","124,173","120,150","141,474","135,441","160,028","135,481","100,089","70,879","57,034","29,141","10,493","2,484","346"
"대구광역시  (2700000000)","1,162,217","1,162,217","31,269","49,000","55,029","57,661","74,228","81,001","76,198","71,455","87,860","91,327","106,400","96,673","96,632","71,324","49,675","31,508","23,021","9,435","2,197","299","25","1,200,663","1,200,663","29,517","47,039","51,645","53,188","65,933","71,873","65,115","66,014","89,451","94,571","110,732","101,480","104,047","80,241","60,862","42,860","37,331","20,068","7,062","1,418","216","1,160,942","1,160,942","31,079","48,928","55,011","57,257","73,624","80,460","76,214","71,283","87,895","91,110","106,115","96,813","96,923","71,479","49,850","31,423","23,393","9,504","2,242","313","26","1,199,720","1,199,720","29,350","46,925","51,678","52,941","65,388","71,562","65,179","65,464","89,535","94,301","110,434","101,663","104,368","80,394","61,005","42,891","37,563","20,262","7,159","1,436","222","1,159,876","1,159,876","30,886","48,805","54,930","56,915","73,066","80,212","76,734","70,986","87,816","90,637","105,716","97,052","97,094","71,566","50,045","31,626","23,489","9,682","2,272","321","26","1,199,112","1,199,112","29,207","46,769","51,637","52,676","64,977","71,480","65,469","65,161","89,484","93,680","110,041","101,858","104,716","80,286","61,351","43,160","37,711","20,509","7,252","1,465","223"
"인천광역시  (2800000000)","1,486,300","1,486,300","43,664","63,028","70,593","69,580","86,548","108,831","107,658","102,829","126,090","121,064","132,945","121,717","124,470","84,563","52,236","35,223","22,843","9,444","2,410","482","82","1,483,202","1,483,202","41,505","59,985","66,881","65,904","80,089","99,535","98,125","96,427","118,715","116,262","132,328","122,949","124,904","89,016","57,046","44,221","36,855","21,193","8,813","2,089","360","1,487,333","1,487,333","43,624","62,889","70,675","69,513","85,818","108,546","107,844","102,669","126,572","121,110","132,882","121,732","124,855","85,192","52,377","35,430","23,037","9,565","2,436","478","89","1,484,455","1,484,455","41,435","59,892","66,983","65,722","79,665","99,343","98,201","96,057","119,015","116,185","132,302","123,208","125,368","89,765","57,197","44,327","37,028","21,352","8,914","2,133","363","1,488,490","1,488,490","43,533","62,666","70,576","69,496","85,439","108,326","108,821","102,464","126,675","120,613","132,779","121,744","125,278","85,908","52,631","35,680","23,187","9,630","2,479","470","95","1,485,991","1,485,991","41,323","59,695","66,880","65,753","79,296","99,354","98,885","95,874","119,028","115,770","132,009","123,617","125,635","90,590","57,505","44,499","37,115","21,625","9,009","2,153","376"
"광주광역시  (2900000000)","706,724","706,724","21,506","32,852","38,227","39,769","49,779","53,357","45,743","45,152","57,116","58,456","63,540","54,650","50,054","34,957","25,074","17,659","12,507","4,907","1,221","180","18","723,092","723,092","20,633","31,124","35,819","36,800","46,059","48,645","42,140","43,648","57,521","59,360","64,527","55,606","53,940","39,184","30,391","23,115","19,165","10,293","4,065","898","159","706,167","706,167","21,398","32,669","38,168","39,571","49,398","53,231","45,805","44,717","57,459","58,342","63,653","54,697","50,196","35,158","25,008","17,670","12,614","4,979","1,231","184","19","722,760","722,760","20,574","31,009","35,794","36,634","45,773","48,427","42,190","43,245","57,728","59,298","64,558","55,745","54,090","39,356","30,351","23,236","19,163","10,404","4,102","920","163","705,471","705,471","21,235","32,546","38,103","39,377","48,966","53,269","46,005","44,366","57,494","58,123","63,592","54,771","50,322","35,405","24,997","17,768","12,625","5,047","1,243","198","19","722,037","722,037","20,407","30,898","35,693","36,519","45,403","48,403","42,218","42,999","57,680","59,034","64,530","55,857","54,181","39,640","30,327","23,348","19,163","10,499","4,146","924","168"
"대전광역시  (3000000000)","721,037","721,037","21,241","31,032","35,302","37,083","48,557","57,944","51,617","47,195","55,541","57,113","65,239","54,364","55,215","40,788","26,427","17,354","12,297","5,151","1,344","205","28","724,769","724,769","20,120","29,266","33,099","34,644","45,960","50,861","45,012","43,919","55,290","58,327","64,993","54,867","58,106","43,947","29,874","21,804","18,832","10,677","4,084","937","150","721,195","721,195","21,204","30,850","35,234","37,043","48,710","57,718","51,566","47,028","55,649","57,146","65,109","54,548","55,256","41,029","26,447","17,409","12,434","5,203","1,383","200","29","724,680","724,680","20,063","29,130","33,066","34,664","45,772","50,676","45,010","43,610","55,361","58,196","65,008","55,018","58,214","44,201","29,939","21,845","18,886","10,780","4,113","969","159","721,051","721,051","21,095","30,709","35,150","36,873","48,700","57,768","51,837","46,898","55,550","56,790","64,950","54,673","55,311","41,249","26,569","17,552","12,458","5,279","1,404","207","29","724,468","724,468","20,002","28,946","33,019","34,640","45,610","50,736","45,238","43,416","55,251","57,851","64,779","55,246","58,216","44,450","30,030","21,907","18,977","10,896","4,110","984","164"
"울산광역시  (3100000000)","570,113","570,113","16,646","26,693","29,418","28,366","33,283","39,507","37,536","37,213","47,828","45,102","52,116","51,149","49,294","33,444","20,751","11,651","7,068","2,406","566","72","4","539,961","539,961","16,024","25,063","27,185","25,355","25,988","29,820","30,751","33,626","44,405","44,049","52,584","48,675","47,450","33,951","21,223","13,736","11,055","6,129","2,297","537","58","569,576","569,576","16,553","26,522","29,414","28,237","32,892","39,403","37,578","36,941","47,887","45,054","51,991","51,186","49,453","33,676","20,817","11,691","7,169","2,458","569","81","4","539,089","539,089","15,870","24,953","27,174","25,138","25,555","29,709","30,709","33,333","44,441","43,890","52,411","48,884","47,561","34,135","21,345","13,754","11,136","6,156","2,324","549","62","569,131","569,131","16,411","26,462","29,335","28,139","32,544","39,260","37,808","36,801","47,815","44,933","51,703","51,273","49,590","33,877","20,935","11,827","7,267","2,479","588","80","4","538,615","538,615","15,719","24,832","27,180","24,991","25,297","29,599","30,875","33,139","44,408","43,653","52,206","48,940","47,671","34,370","21,580","13,800","11,188","6,208","2,343","551","65"
"세종특별자치시  (3600000000)","191,769","191,769","9,524","13,733","14,079","10,808","9,307","10,329","13,538","16,303","20,299","18,098","16,047","11,134","10,497","7,464","4,657","2,763","2,000","913","230","40","6","192,727","192,727","9,323","13,207","13,629","10,886","8,405","10,259","14,210","16,881","21,108","17,327","14,197","10,508","10,407","7,664","4,924","3,401","3,127","2,109","926","201","28","192,110","192,110","9,504","13,759","14,110","10,838","9,274","10,265","13,479","16,279","20,410","18,160","16,107","11,232","10,532","7,519","4,669","2,778","1,997","920","231","41","6","193,175","193,175","9,303","13,218","13,686","10,879","8,434","10,197","14,211","16,823","21,241","17,395","14,267","10,567","10,471","7,713","4,921","3,421","3,146","2,094","953","203","32","192,212","192,212","9,417","13,754","14,099","10,851","9,211","10,277","13,527","16,248","20,432","18,123","16,127","11,300","10,533","7,594","4,693","2,798","2,026","921","231","44","6","193,397","193,397","9,258","13,233","13,651","10,873","8,436","10,225","14,236","16,734","21,280","17,399","14,312","10,631","10,492","7,796","4,943","3,437","3,151","2,101","965","209","35"
"경기도  (4100000000)","6,842,226","6,842,226","216,863","313,113","345,546","335,021","411,620","501,356","491,074","485,448","590,936","571,769","624,582","537,189","521,204","356,812","219,043","153,879","106,802","45,597","11,973","2,020","379","6,753,865","6,753,865","206,896","298,872","329,545","318,130","378,103","440,729","443,662","458,599","565,676","556,356","611,475","524,013","513,123","370,036","244,862","193,766","161,299","92,796","36,055","8,483","1,389","6,844,167","6,844,167","216,155","311,913","345,366","334,627","409,210","499,720","490,962","483,671","592,251","571,943","625,078","538,261","522,952","359,648","219,494","154,494","107,759","46,080","12,126","2,054","403","6,756,633","6,756,633","206,023","297,923","329,439","317,782","376,394","439,561","443,518","456,253","566,882","556,039","611,558","525,782","515,449","372,331","245,520","194,269","161,976","93,505","36,359","8,632","1,438","6,845,505","6,845,505","215,197","310,627","344,946","334,073","407,129","499,355","493,928","481,821","592,288","569,490","624,445","539,597","524,222","362,507","220,706","155,542","108,293","46,601","12,240","2,079","419","6,758,041","6,758,041","204,922","296,829","329,192","317,029","374,603","439,516","445,608","454,655","566,710","553,529","610,258","527,798","516,821","375,186","246,654","195,016","162,500","94,360","36,629","8,773","1,453"
"강원도  (4200000000)","772,297","772,297","20,663","28,244","33,186","35,219","46,654","48,339","43,021","41,832","52,647","57,135","69,321","65,868","74,871","59,684","35,256","28,108","20,902","8,649","2,159","472","67","763,076","763,076","19,847","26,739","31,256","32,170","37,089","37,292","36,592","38,510","51,051","54,546","64,004","62,565","75,091","59,322","39,610","35,366","33,556","18,796","7,499","1,896","279","771,758","771,758","20,580","28,156","33,068","35,062","46,234","48,196","43,033","41,648","52,640","56,977","69,130","65,976","74,876","60,144","35,436","28,034","21,118","8,722","2,184","468","76","762,309","762,309","19,728","26,677","31,115","31,979","36,753","37,180","36,553","38,224","51,003","54,434","63,899","62,613","75,100","59,709","39,719","35,322","33,589","18,972","7,539","1,920","281","771,574","771,574","20,516","28,027","33,038","35,173","45,978","48,033","43,264","41,461","52,524","56,701","68,760","66,145","74,926","60,592","35,572","28,115","21,151","8,848","2,202","467","81","762,145","762,145","19,652","26,507","31,095","31,937","36,499","37,267","36,647","38,030","50,883","54,244","63,600","62,741","75,081","60,079","39,875","35,391","33,616","19,185","7,591","1,941","284"
"충청북도  (4300000000)","810,740","810,740","22,631","32,948","37,693","37,809","47,397","57,064","51,561","49,894","60,047","61,976","71,219","67,045","72,702","54,810","34,167","23,398","17,998","8,095","1,908","328","50","783,719","783,719","21,356","31,729","35,481","34,716","39,551","43,630","40,920","44,538","55,571","58,255","67,059","63,029","70,138","54,931","36,645","29,888","29,650","18,365","6,661","1,380","226","810,305","810,305","22,414","32,768","37,708","37,716","47,062","56,702","51,598","49,729","60,154","61,886","71,098","67,194","72,783","55,225","34,184","23,391","18,220","8,155","1,941","327","50","783,129","783,129","21,200","31,568","35,436","34,551","39,193","43,582","40,841","44,153","55,689","58,072","66,907","63,327","70,130","55,342","36,692","29,836","29,773","18,467","6,735","1,402","233","810,811","810,811","22,318","32,667","37,593","37,830","47,214","56,550","51,998","49,491","60,131","61,628","70,863","67,338","72,818","55,642","34,322","23,536","18,267","8,265","1,961","331","48","783,245","783,245","21,071","31,399","35,393","34,654","39,161","43,550","41,021","43,930","55,629","57,809","66,644","63,608","70,125","55,713","36,822","29,763","29,888","18,602","6,801","1,423","239"
"충청남도  (4400000000)","1,086,686","1,086,686","31,138","46,381","53,256","51,596","60,532","67,469","66,486","70,151","87,472","86,432","96,028","85,589","91,701","67,960","48,258","33,015","25,781","13,262","3,553","568","58","1,036,227","1,036,227","29,682","44,217","49,792","47,846","50,336","52,046","54,486","61,410","76,490","76,656","83,397","76,887","87,089","68,473","52,132","40,742","42,846","28,113","10,930","2,254","403","1,087,162","1,087,162","31,000","46,204","53,226","51,563","60,196","67,240","66,553","69,681","87,728","86,600","96,017","85,825","92,044","68,370","48,319","32,973","26,016","13,377","3,582","582","66","1,036,463","1,036,463","29,547","43,976","49,782","47,739","50,143","51,854","54,382","60,955","76,769","76,710","83,472","77,165","87,401","68,863","52,136","40,695","42,857","28,283","11,043","2,287","404","1,087,705","1,087,705","30,746","46,067","53,201","51,451","60,086","67,353","66,833","69,427","87,705","86,230","95,918","86,099","92,295","68,922","48,339","33,268","25,993","13,496","3,636","575","65","1,036,945","1,036,945","29,363","43,820","49,738","47,779","49,979","51,850","54,642","60,645","76,734","76,472","83,355","77,514","87,472","69,362","52,298","40,698","42,831","28,513","11,141","2,324","415"
"전라북도  (4500000000)","879,922","879,922","21,236","34,769","42,410","44,115","54,218","53,042","44,965","46,154","61,000","68,586","80,752","74,309","77,740","60,703","44,697","31,975","24,526","11,227","2,972","464","62","888,307","888,307","20,645","32,851","39,894","41,000","45,775","44,482","40,361","44,289","58,259","65,177","73,754","69,326","77,493","62,308","50,424","41,402","42,315","25,907","10,046","2,181","418","879,065","879,065","21,064","34,588","42,309","44,056","53,675","52,877","44,850","45,750","61,111","68,596","80,761","74,345","77,988","60,920","44,624","32,069","24,643","11,306","2,991","479","63","887,459","887,459","20,487","32,698","39,801","40,787","45,383","44,345","40,308","43,898","58,260","65,153","73,821","69,392","77,681","62,471","50,360","41,429","42,313","26,071","10,146","2,230","425","878,456","878,456","20,935","34,337","42,238","43,900","53,341","52,943","45,085","45,540","60,883","68,204","80,721","74,519","78,157","61,202","44,690","32,211","24,569","11,426","3,003","490","62","886,719","886,719","20,391","32,502","39,677","40,574","45,041","44,392","40,495","43,623","58,090","64,843","73,772","69,533","77,803","62,839","50,248","41,563","42,159","26,254","10,216","2,277","427"
"전라남도  (4600000000)","914,811","914,811","23,539","34,785","41,325","41,816","51,858","51,905","43,572","46,628","62,839","68,646","83,909","83,843","86,322","64,278","50,227","35,492","28,495","11,601","3,186","485","60","901,896","901,896","22,768","33,051","39,355","38,799","41,020","40,624","38,210","43,275","55,885","59,776","71,503","72,116","80,839","63,612","54,625","48,003","52,532","30,832","12,043","2,540","488","914,087","914,087","23,359","34,636","41,245","41,684","51,387","51,628","43,567","46,279","62,946","68,596","83,937","83,854","86,554","64,687","50,089","35,498","28,700","11,678","3,209","492","62","900,771","900,771","22,640","32,835","39,327","38,476","40,567","40,371","38,251","42,967","55,949","59,665","71,553","72,125","81,011","63,895","54,483","47,886","52,420","31,116","12,135","2,589","510","913,670","913,670","23,206","34,523","41,135","41,598","50,974","51,526","43,803","45,986","62,951","68,241","83,779","83,980","86,875","65,124","50,040","35,639","28,637","11,839","3,248","501","65","900,202","900,202","22,480","32,637","39,293","38,447","40,199","40,393","38,496","42,700","55,902","59,422","71,391","72,097","81,140","64,314","54,408","47,811","52,201","31,467","12,281","2,605","518"
"경상북도  (4700000000)","1,310,583","1,310,583","33,538","50,669","57,538","58,036","72,082","75,729","70,663","73,213","93,825","97,876","118,090","115,155","125,814","98,898","70,342","44,053","34,935","15,550","3,924","597","56","1,286,944","1,286,944","31,734","47,824","52,990","51,883","55,452","56,335","57,501","65,642","85,999","91,398","108,122","107,649","122,345","99,939","77,159","57,996","61,672","37,708","14,113","2,999","484","1,309,417","1,309,417","33,286","50,244","57,495","57,955","71,409","75,431","70,643","72,719","93,709","97,759","117,839","115,225","126,161","99,178","70,645","43,790","35,587","15,681","3,991","607","63","1,284,982","1,284,982","31,520","47,463","52,924","51,582","54,579","55,996","57,334","65,033","86,058","91,065","107,915","107,844","122,703","100,117","77,386","57,714","61,991","37,870","14,341","3,057","490","1,309,056","1,309,056","33,057","50,044","57,352","57,926","71,190","75,269","70,887","72,359","93,587","97,262","117,380","115,390","126,461","99,391","71,041","44,206","35,673","15,862","4,023","631","65","1,284,154","1,284,154","31,186","47,212","52,926","51,659","54,121","55,800","57,506","64,625","85,946","90,538","107,433","107,979","122,962","100,245","77,864","57,574","62,231","38,251","14,493","3,099","504"
"경상남도  (4800000000)","1,650,300","1,650,300","44,066","73,112","84,029","81,884","93,886","96,408","91,363","98,508","132,630","133,558","154,972","139,975","148,200","109,447","73,308","45,837","31,710","13,579","3,300","475","53","1,627,372","1,627,372","41,938","68,814","78,894","74,159","72,991","76,068","78,678","92,008","124,822","127,716","147,135","133,938","146,360","112,356","80,767","60,387","58,415","35,182","13,684","2,717","343","1,647,690","1,647,690","43,603","72,657","83,968","81,599","92,565","95,854","91,290","97,621","132,634","133,281","154,836","140,192","148,691","109,971","73,397","45,920","32,056","13,654","3,355","487","59","1,624,691","1,624,691","41,489","68,379","78,729","73,686","71,877","75,750","78,509","90,982","124,946","127,097","147,136","134,207","146,849","112,760","81,051","60,248","58,637","35,398","13,830","2,772","359","1,646,280","1,646,280","43,204","72,378","83,778","81,440","91,704","95,548","91,530","97,097","132,424","132,712","154,296","140,482","148,997","110,838","73,655","46,297","32,188","13,747","3,410","496","59","1,622,948","1,622,948","41,079","68,133","78,555","73,421","71,101","75,436","78,641","90,469","124,757","126,404","146,558","134,712","147,046","113,414","81,478","60,234","58,768","35,649","13,908","2,810","375"
"제주특별자치도  (5000000000)","339,325","339,325","10,989","16,953","18,838","17,925","19,947","21,166","19,331","20,608","27,661","28,797","32,510","28,485","25,858","18,587","12,291","9,298","6,331","2,946","723","70","11","338,168","338,168","10,311","16,073","17,755","16,321","17,150","19,148","18,571","20,656","27,506","26,772","30,344","26,167","25,504","19,418","13,681","11,668","10,195","6,920","3,046","739","223","339,078","339,078","10,924","16,874","18,806","17,844","19,704","21,050","19,392","20,449","27,752","28,724","32,587","28,527","25,979","18,711","12,266","9,314","6,402","2,961","724","74","14","338,012","338,012","10,261","16,058","17,692","16,228","17,028","19,001","18,655","20,481","27,579","26,715","30,432","26,210","25,591","19,496","13,681","11,698","10,247","6,896","3,091","735","237","339,056","339,056","10,832","16,806","18,796","17,807","19,554","21,007","19,531","20,336","27,795","28,609","32,602","28,589","26,105","18,850","12,264","9,358","6,415","2,982","728","76","14","337,975","337,975","10,209","15,998","17,691","16,155","16,871","18,920","18,765","20,325","27,661","26,589","30,488","26,303","25,662","19,596","13,741","11,717","10,267","6,907","3,125","735","250"
